,Unnamed: 0,Dates,Spot t,Spot t-1,Volatility,Duration,Strike,Implied_vol,Change_in_implied_vol,Maturity,Day_of_week,Spot t-2,Spot t-3,Spot t-4,Spot t-5,Spot t-6,Spot t-7,Spot t-8,Change_in_Spot t,Change_in_Spot t-1,Change_in_Spot t-2,Change_in_Spot t-3,Change_in_Spot t-4,Change_in_Spot t-5,Change_in_Spot t-6,Change_in_Spot t-7,Implied_vol t-1,Implied_vol t-2,Implied_vol t-3,Implied_vol t-4,Implied_vol t-5,Implied_vol t-6,Implied_vol t-7,Implied_vol t-8,Change_in_Implied_vol t,Change_in_Implied_vol t-1,Change_in_Implied_vol t-2,Change_in_Implied_vol t-3,Change_in_Implied_vol t-4,Change_in_Implied_vol t-5,Change_in_Implied_vol t-6,Change_in_Implied_vol t-7
0,0,2019-04-18,2900.45,2900.45,38.4404,6M,40,38.4404,1.6409999999999982,0.5,3,2907.06,2905.58,2907.41,2888.32,2888.21,2878.2,2895.77,0.0,-0.002273774879087507,0.0005093647395700749,-0.0006294261903205696,0.006609378462220145,3.8085873257182595e-05,0.003477868112014529,-0.006067470828139032,36.77540167422296,36.40855958322154,35.63201622877361,34.97200134483956,35.4469230916242,36.30789449970743,36.788129182822594,38.390906636576794,0.04527478287053175,0.01007571008578099,0.021793416052074414,0.018872665519653983,-0.013398109211257824,-0.023713063507171096,-0.013054066455203132,-0.04174888259156575
1,1,2019-04-17,2900.45,2907.06,36.7994,6M,40,36.77540167422296,0.3711016742229632,0.5,2,2905.58,2907.41,2888.32,2888.21,2878.2,2895.77,2892.74,-0.002273774879087507,0.0005093647395700749,-0.0006294261903205696,0.006609378462220145,3.8085873257182595e-05,0.003477868112014529,-0.006067470828139032,0.0010474498226595546,36.40855958322154,35.63201622877361,34.97200134483956,35.4469230916242,36.30789449970743,36.788129182822594,38.390906636576794,38.06948952965009,0.01007571008578099,0.021793416052074414,0.018872665519653983,-0.013398109211257824,-0.023713063507171096,-0.013054066455203132,-0.04174888259156575,0.008442905615437176
2,2,2019-04-16,2907.06,2905.58,36.4043,6M,40,36.40855958322154,0.7708595832215366,0.5,1,2907.41,2888.32,2888.21,2878.2,2895.77,2892.74,2879.39,0.0005093647395700749,-0.0006294261903205696,0.006609378462220145,3.8085873257182595e-05,0.003477868112014529,-0.006067470828139032,0.0010474498226595546,0.0046363986816651825,35.63201622877361,34.97200134483956,35.4469230916242,36.30789449970743,36.788129182822594,38.390906636576794,38.06948952965009,37.58226180267348,0.021793416052074414,0.018872665519653983,-0.013398109211257824,-0.023713063507171096,-0.013054066455203132,-0.04174888259156575,0.008442905615437176,0.012964300273751835
3,3,2019-04-15,2905.58,2907.41,35.6377,6M,40,35.63201622877361,0.7566162287736091,0.5,0,2888.32,2888.21,2878.2,2895.77,2892.74,2879.39,2873.4,-0.0006294261903205696,0.006609378462220145,3.8085873257182595e-05,0.003477868112014529,-0.006067470828139032,0.0010474498226595546,0.0046363986816651825,0.002084638407461468,34.97200134483956,35.4469230916242,36.30789449970743,36.788129182822594,38.390906636576794,38.06948952965009,37.58226180267348,38.29977046843461,0.018872665519653983,-0.013398109211257824,-0.023713063507171096,-0.013054066455203132,-0.04174888259156575,0.008442905615437176,0.012964300273751835,-0.01873401999504088
4,4,2019-04-12,2907.41,2888.32,34.8754,6M,40,34.97200134483956,-0.4742986551604389,0.5,4,2888.21,2878.2,2895.77,2892.74,2879.39,2873.4,2867.24,0.006609378462220145,3.8085873257182595e-05,0.003477868112014529,-0.006067470828139032,0.0010474498226595546,0.0046363986816651825,0.002084638407461468,0.0021484075277968737,35.4469230916242,36.30789449970743,36.788129182822594,38.390906636576794,38.06948952965009,37.58226180267348,38.29977046843461,36.86719142450578,-0.013398109211257824,-0.023713063507171096,-0.013054066455203132,-0.04174888259156575,0.008442905615437176,0.012964300273751835,-0.01873401999504088,0.0388578296467839
5,5,2019-04-11,2888.32,2888.21,35.4463,6M,40,35.4469230916242,-0.8151769083757969,0.5,3,2878.2,2895.77,2892.74,2879.39,2873.4,2867.24,2867.19,3.8085873257182595e-05,0.003477868112014529,-0.006067470828139032,0.0010474498226595546,0.0046363986816651825,0.002084638407461468,0.0021484075277968737,1.7438676892611635e-05,36.30789449970743,36.788129182822594,38.390906636576794,38.06948952965009,37.58226180267348,38.29977046843461,36.86719142450578,36.347098844862046,-0.023713063507171096,-0.013054066455203132,-0.04174888259156575,0.008442905615437176,0.012964300273751835,-0.01873401999504088,0.0388578296467839,0.014309053436798957
6,6,2019-04-10,2888.21,2878.2,36.2621,6M,40,36.30789449970743,-0.532805500292568,0.5,2,2895.77,2892.74,2879.39,2873.4,2867.24,2867.19,2834.4,0.003477868112014529,-0.006067470828139032,0.0010474498226595546,0.0046363986816651825,0.002084638407461468,0.0021484075277968737,1.7438676892611635e-05,0.011568585944115143,36.788129182822594,38.390906636576794,38.06948952965009,37.58226180267348,38.29977046843461,36.86719142450578,36.347098844862046,35.577523691786624,-0.013054066455203132,-0.04174888259156575,0.008442905615437176,0.012964300273751835,-0.01873401999504088,0.0388578296467839,0.014309053436798957,0.02163093642329821
7,7,2019-04-09,2878.2,2895.77,36.8407,6M,40,36.788129182822594,-1.5949708171774049,0.5,1,2892.74,2879.39,2873.4,2867.24,2867.19,2834.4,2815.44,-0.006067470828139032,0.0010474498226595546,0.0046363986816651825,0.002084638407461468,0.0021484075277968737,1.7438676892611635e-05,0.011568585944115143,0.006734293751598342,38.390906636576794,38.06948952965009,37.58226180267348,38.29977046843461,36.86719142450578,36.347098844862046,35.577523691786624,38.06531379961924,-0.04174888259156575,0.008442905615437176,0.012964300273751835,-0.01873401999504088,0.0388578296467839,0.014309053436798957,0.02163093642329821,-0.06535582816757184
8,8,2019-04-08,2895.77,2892.74,38.3831,6M,40,38.390906636576794,0.3586066365768019,0.5,0,2879.39,2873.4,2867.24,2867.19,2834.4,2815.44,2805.37,0.0010474498226595546,0.0046363986816651825,0.002084638407461468,0.0021484075277968737,1.7438676892611635e-05,0.011568585944115143,0.006734293751598342,0.003589544338180049,38.06948952965009,37.58226180267348,38.29977046843461,36.86719142450578,36.347098844862046,35.577523691786624,38.06531379961924,38.19936445210436,0.008442905615437176,0.012964300273751835,-0.01873401999504088,0.0388578296467839,0.014309053436798957,0.02163093642329821,-0.06535582816757184,-0.0035092377689476834
9,9,2019-04-05,2892.74,2879.39,38.0323,6M,40,38.06948952965009,0.5042895296500944,0.5,4,2873.4,2867.24,2867.19,2834.4,2815.44,2805.37,2818.46,0.0046363986816651825,0.002084638407461468,0.0021484075277968737,1.7438676892611635e-05,0.011568585944115143,0.006734293751598342,0.003589544338180049,-0.004644380264399759,37.58226180267348,38.29977046843461,36.86719142450578,36.347098844862046,35.577523691786624,38.06531379961924,38.19936445210436,37.62932470639995,0.012964300273751835,-0.01873401999504088,0.0388578296467839,0.014309053436798957,0.02163093642329821,-0.06535582816757184,-0.0035092377689476834,0.015148816784571785
